[IPSM]; DEBUG; 2018-09-03 00:01:03.314; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:01:03.344; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:01:03.349; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:01:03.349; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:01:09.565; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:01:09.716; [Gerenciamento]; Finalizado processo de envio do integrador ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:01:09.716; [Gerenciamento]; Iniciando limpeza de processos do Integrador SAT obsoletos; 
[TRI_1]; INFO ; 2018-09-03 00:01:18.338; [QueueManager]; Sem processamento a 250 minutos; 
[TG_1]; INFO ; 2018-09-03 00:01:18.338; [QueueManager]; Sem processamento a 250 minutos; 
[TIN_1]; INFO ; 2018-09-03 00:01:18.338; [QueueManager]; Sem processamento a 250 minutos; 
[TFCO_1]; INFO ; 2018-09-03 00:01:19.336; [QueueManager]; Sem processamento a 250 minutos; 
[TI_22]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TFC_21]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TC_21]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TE_2]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TC_22]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TE_1]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TI_2]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TE_22]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TB_2]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TB_1]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
[TC_2]; INFO ; 2018-09-03 00:01:19.339; [QueueManager]; Sem processamento a 250 minutos; 
